X1	X1.5	X2	X2.5	X3	X3.5	X4	X4.5	X5	X5.5	X6	Effect size
0.938	0.952	0.955	0.96	0.965	0.959	0.969	0.962	0.959	0.965	0.957	10%
0.846	0.9	0.914	0.928	0.941	0.936	0.952	0.939	0.948	0.954	0.955	5%
0.536	0.586	0.696	0.699	0.76	0.815	0.811	0.86	0.849	0.844	0.867	2%
