X1	X1.5	X2	X2.5	X3	X3.5	X4	X4.5	X5	X5.5	X6	Effect size
0.882	0.915	0.915	0.927	0.953	0.936	0.939	0.95	0.948	0.947	0.943	10%
0.655	0.749	0.787	0.817	0.848	0.875	0.875	0.896	0.894	0.911	0.909	5%
0.194	0.271	0.35	0.388	0.432	0.469	0.572	0.557	0.593	0.634	0.634	2%
