X7	X14	X21	X28	X35	X42	X49	X56	X63	X70	X77	X84	Effect size
0.862	0.932	0.945	0.947	0.932	0.946	0.958	0.942	0.965	0.953	0.953	0.967	10%
0.69	0.819	0.858	0.885	0.903	0.915	0.916	0.925	0.935	0.928	0.929	0.934	5%
0.209	0.353	0.466	0.557	0.631	0.655	0.68	0.737	0.778	0.738	0.768	0.785	2%
