X7	X14	X21	X28	X35	X42	X49	X56	X63	X70	X77	X84	Effect size
0.943	0.953	0.963	0.965	0.962	0.967	0.965	0.976	0.968	0.969	0.968	0.972	10%
0.829	0.908	0.919	0.926	0.94	0.94	0.947	0.95	0.951	0.952	0.952	0.969	5%
0.405	0.604	0.712	0.751	0.783	0.811	0.838	0.846	0.877	0.891	0.894	0.883	2%
