X1	X1.5	X2	X2.5	X3	X3.5	X4	X4.5	X5	X5.5	X6	Effect size
0.915	0.931	0.946	0.947	0.949	0.956	0.965	0.957	0.959	0.966	0.967	10%
0.786	0.839	0.876	0.882	0.907	0.923	0.909	0.919	0.932	0.933	0.93	5%
0.343	0.439	0.51	0.586	0.642	0.669	0.704	0.718	0.746	0.743	0.774	2%
