X7	X14	X21	X28	X35	X42	X49	X56	X63	X70	X77	X84	Effect size
0.956	0.96	0.965	0.964	0.969	0.962	0.968	0.97	0.961	0.972	0.965	0.982	10%
0.887	0.928	0.93	0.943	0.955	0.96	0.959	0.957	0.963	0.958	0.952	0.968	5%
0.6	0.783	0.825	0.872	0.877	0.892	0.902	0.914	0.921	0.932	0.913	0.931	2%
